Index,Object Name,URDF Path
21,bowl,Irregular-Object-Packing/objects/OCRTOC _objects/bowl/model.urdf
22,scissors,Irregular-Object-Packing/objects/OCRTOC _objects/scissors/model.urdf
23,book_1,Irregular-Object-Packing/objects/OCRTOC _objects/book_1/model.urdf
24,suger_1,Irregular-Object-Packing/objects/OCRTOC _objects/suger_1/model.urdf
25,green_cup,Irregular-Object-Packing/objects/OCRTOC _objects/green_cup/model.urdf
26,glue_1,Irregular-Object-Packing/objects/OCRTOC _objects/glue_1/model.urdf
27,book_4,Irregular-Object-Packing/objects/OCRTOC _objects/book_4/model.urdf
28,fork,Irregular-Object-Packing/objects/OCRTOC _objects/fork/model.urdf
29,flat_screwdriver,Irregular-Object-Packing/objects/OCRTOC _objects/flat_screwdriver/model.urdf
30,conditioner,Irregular-Object-Packing/objects/OCRTOC _objects/conditioner/model.urdf
31,extra_large_clamp,Irregular-Object-Packing/objects/OCRTOC _objects/extra_large_clamp/model.urdf
32,plastic_plum,Irregular-Object-Packing/objects/OCRTOC _objects/plastic_plum/model.urdf
33,plastic_strawberry,Irregular-Object-Packing/objects/OCRTOC _objects/plastic_strawberry/model.urdf
34,pen_container_1,Irregular-Object-Packing/objects/OCRTOC _objects/pen_container_1/model.urdf
35,doraemon_bowl,Irregular-Object-Packing/objects/OCRTOC _objects/doraemon_bowl/model.urdf
36,large_clamp,Irregular-Object-Packing/objects/OCRTOC _objects/large_clamp/model.urdf
37,shampoo,Irregular-Object-Packing/objects/OCRTOC _objects/shampoo/model.urdf
38,remote_controller_1,Irregular-Object-Packing/objects/OCRTOC _objects/remote_controller_1/model.urdf
39,square_plate_2,Irregular-Object-Packing/objects/OCRTOC _objects/square_plate_2/model.urdf
40,correction_fuid,Irregular-Object-Packing/objects/OCRTOC _objects/correction_fuid/model.urdf
41,plastic_orange,Irregular-Object-Packing/objects/OCRTOC _objects/plastic_orange/model.urdf
42,potato_chip_3,Irregular-Object-Packing/objects/OCRTOC _objects/potato_chip_3/model.urdf
43,stapler_2,Irregular-Object-Packing/objects/OCRTOC _objects/stapler_2/model.urdf
44,sugar_box,Irregular-Object-Packing/objects/OCRTOC _objects/sugar_box/model.urdf
45,round_plate_2,Irregular-Object-Packing/objects/OCRTOC _objects/round_plate_2/model.urdf
46,spoon,Irregular-Object-Packing/objects/OCRTOC _objects/spoon/model.urdf
47,large_marker,Irregular-Object-Packing/objects/OCRTOC _objects/large_marker/model.urdf
48,book_holder_1,Irregular-Object-Packing/objects/OCRTOC _objects/book_holder_1/model.urdf
49,potato_chip_2,Irregular-Object-Packing/objects/OCRTOC _objects/potato_chip_2/model.urdf
50,round_plate_1,Irregular-Object-Packing/objects/OCRTOC _objects/round_plate_1/model.urdf
51,blue_moon,Irregular-Object-Packing/objects/OCRTOC _objects/blue_moon/model.urdf
52,plastic_apple,Irregular-Object-Packing/objects/OCRTOC _objects/plastic_apple/model.urdf
53,cracker_box,Irregular-Object-Packing/objects/OCRTOC _objects/cracker_box/model.urdf
54,pink_tea_box,Irregular-Object-Packing/objects/OCRTOC _objects/pink_tea_box/model.urdf
55,suger_2,Irregular-Object-Packing/objects/OCRTOC _objects/suger_2/model.urdf
56,grey_plate,Irregular-Object-Packing/objects/OCRTOC _objects/grey_plate/model.urdf
57,square_plate_3,Irregular-Object-Packing/objects/OCRTOC _objects/square_plate_3/model.urdf
58,potato_chip_1,Irregular-Object-Packing/objects/OCRTOC _objects/potato_chip_1/model.urdf
59,lipton_tea,Irregular-Object-Packing/objects/OCRTOC _objects/lipton_tea/model.urdf
60,power_drill,Irregular-Object-Packing/objects/OCRTOC _objects/power_drill/model.urdf
61,bleach_cleanser,Irregular-Object-Packing/objects/OCRTOC _objects/bleach_cleanser/model.urdf
62,pitcher,Irregular-Object-Packing/objects/OCRTOC _objects/pitcher/model.urdf
63,blue_cup,Irregular-Object-Packing/objects/OCRTOC _objects/blue_cup/model.urdf
64,plate,Irregular-Object-Packing/objects/OCRTOC _objects/plate/model.urdf
65,clear_box_2,Irregular-Object-Packing/objects/OCRTOC _objects/clear_box_2/model.urdf
66,small_marker,Irregular-Object-Packing/objects/OCRTOC _objects/small_marker/model.urdf
67,pudding_box,Irregular-Object-Packing/objects/OCRTOC _objects/pudding_box/model.urdf
68,green_bowl,Irregular-Object-Packing/objects/OCRTOC _objects/green_bowl/model.urdf
69,yellow_cup,Irregular-Object-Packing/objects/OCRTOC _objects/yellow_cup/model.urdf
70,toothpaste_1,Irregular-Object-Packing/objects/OCRTOC _objects/toothpaste_1/model.urdf
71,blue_tea_box,Irregular-Object-Packing/objects/OCRTOC _objects/blue_tea_box/model.urdf
72,phillips_screwdriver,Irregular-Object-Packing/objects/OCRTOC _objects/phillips_screwdriver/model.urdf
73,small_clamp,Irregular-Object-Packing/objects/OCRTOC _objects/small_clamp/model.urdf
74,round_plate_3,Irregular-Object-Packing/objects/OCRTOC _objects/round_plate_3/model.urdf
75,plastic_peach,Irregular-Object-Packing/objects/OCRTOC _objects/plastic_peach/model.urdf
76,knife,Irregular-Object-Packing/objects/OCRTOC _objects/knife/model.urdf
77,book_5,Irregular-Object-Packing/objects/OCRTOC _objects/book_5/model.urdf
78,magic_clean,Irregular-Object-Packing/objects/OCRTOC _objects/magic_clean/model.urdf
79,book_holder_2,Irregular-Object-Packing/objects/OCRTOC _objects/book_holder_2/model.urdf
80,orange_cup,Irregular-Object-Packing/objects/OCRTOC _objects/orange_cup/model.urdf
81,yellow_bowl,Irregular-Object-Packing/objects/OCRTOC _objects/yellow_bowl/model.urdf
82,red_marker,Irregular-Object-Packing/objects/OCRTOC _objects/red_marker/model.urdf
83,two_color_hammer,Irregular-Object-Packing/objects/OCRTOC _objects/two_color_hammer/model.urdf
84,square_plate_1,Irregular-Object-Packing/objects/OCRTOC _objects/square_plate_1/model.urdf
85,stapler_1,Irregular-Object-Packing/objects/OCRTOC _objects/stapler_1/model.urdf
86,blue_plate,Irregular-Object-Packing/objects/OCRTOC _objects/blue_plate/model.urdf
87,blue_marker,Irregular-Object-Packing/objects/OCRTOC _objects/blue_marker/model.urdf
88,suger_3,Irregular-Object-Packing/objects/OCRTOC _objects/suger_3/model.urdf
89,gelatin_box,Irregular-Object-Packing/objects/OCRTOC _objects/gelatin_box/model.urdf
90,cleanser,Irregular-Object-Packing/objects/OCRTOC _objects/cleanser/model.urdf
91,book_6,Irregular-Object-Packing/objects/OCRTOC _objects/book_6/model.urdf
92,soap_dish,Irregular-Object-Packing/objects/OCRTOC _objects/soap_dish/model.urdf
93,clear_box,Irregular-Object-Packing/objects/OCRTOC _objects/clear_box/model.urdf
94,clear_box_1,Irregular-Object-Packing/objects/OCRTOC _objects/clear_box_1/model.urdf
95,mug,Irregular-Object-Packing/objects/OCRTOC _objects/mug/model.urdf
96,plastic_lemon,Irregular-Object-Packing/objects/OCRTOC _objects/plastic_lemon/model.urdf
97,glue_2,Irregular-Object-Packing/objects/OCRTOC _objects/glue_2/model.urdf
98,square_plate_4,Irregular-Object-Packing/objects/OCRTOC _objects/square_plate_4/model.urdf
99,soap,Irregular-Object-Packing/objects/OCRTOC _objects/soap/model.urdf
100,black_marker,Irregular-Object-Packing/objects/OCRTOC _objects/black_marker/model.urdf
101,repellent,Irregular-Object-Packing/objects/OCRTOC _objects/repellent/model.urdf
102,medium_clamp,Irregular-Object-Packing/objects/OCRTOC _objects/medium_clamp/model.urdf
103,mini_claw_hammer_1,Irregular-Object-Packing/objects/OCRTOC _objects/mini_claw_hammer_1/model.urdf
104,poker_1,Irregular-Object-Packing/objects/OCRTOC _objects/poker_1/model.urdf
105,round_plate_4,Irregular-Object-Packing/objects/OCRTOC _objects/round_plate_4/model.urdf
106,plate_holder,Irregular-Object-Packing/objects/OCRTOC _objects/plate_holder/model.urdf
107,plastic_pear,Irregular-Object-Packing/objects/OCRTOC _objects/plastic_pear/model.urdf
108,book_2,Irregular-Object-Packing/objects/OCRTOC _objects/book_2/model.urdf
109,doraemon_plate,Irregular-Object-Packing/objects/OCRTOC _objects/doraemon_plate/model.urdf
